"Year","fishing_hours","mw_fishinghours","Fishing_category_FO","Lat","Lon"
2011,0.00547991264918604,3.96817494803931,"Static",49.85,-4.25
2013,1.89934975453814,1.49343553311687,"Otter",57.45,17.35
2011,5.69481322701312,19.3637190096149,"Demersal seine",51.55,-6.25
2011,0.167033155386099,1.46359256990865,"Midwater",63.15,6.05
2015,3.04443779429322,8.40327934473681,"Static",55.15,13.75
2010,3.91550728178744,0.0269962547815841,"Midwater",55.25,-10.85
2011,0.0114283458017269,0.195244028524714,"Static",46.65,-2.45
2009,1.89596009607695,0.0944743954883461,"Demersal seine",49.95,-2.25
2009,13.6170669520344,0.16106611002039,"Demersal seine",57.35,5.65
2011,3.25360059669956,14.6325139391298,"Static",44.55,-17.05
2009,0.683621778285324,0.0179020699120409,"Other",45.05,-2.85
2014,3.80097712724953,1.54384018249172,"Midwater",59.05,20.45
2015,9.49916456514083,1.9002640249503,"Static",70.35,36.35
2011,0.903463431394117,0.361351273268638,"Dredge",51.45,3.25
2009,0.0236859945496864,0.160829399127075,"Midwater",55.45,7.75
2014,4.27403315816088,0.00181861954162808,"Other",55.05,18.05
2015,3.78993008400779,0.305629095446387,"Midwater",54.95,-9.05
2010,0.693276243678573,1.04723332189748,"Beam",54.05,4.65
2013,2.50088253921154,0.0538527195063226,"Otter",78.45,14.85
2015,0.00000686757804081143,0.0000000987452637533027,"Otter",60.25,-41.95
2014,23.0439200981886,3.94332913059316,"Demersal seine",58.45,-3.05
2011,0.00116660010894862,0.00399789073152738,"Demersal seine",47.05,-2.95
2013,0.323256748237092,1.09632592908772,"Otter",55.05,13.55
2009,6.95969229052241,1.04088330032512,"Midwater",60.45,0.95
2013,0.0809247767026631,0.100573941504959,"Midwater",59.35,21.05
2014,0.625582942374485,0.39927407419286,"Dredge",49.75,-1.05
2015,9.98178818011668,0.688172771193899,"Otter",60.45,2.35
2011,0.255806060532613,0.761018364025514,"Static",64.55,8.65
2012,0.397865028856719,9.43159392903476,"Otter",59.55,-7.35
2012,0.121928994398877,0.131259460997638,"Static",56.45,20.45
2009,59.7726852770618,3.74132622265642,"Otter",58.75,-8.95
2013,4.13179118034744,48.651626651049,"Otter",57.85,2.55
2014,0.00011524150808435,33.3218514022893,"Static",60.55,-1.65
2013,0.0522370105996522,0.128988757044661,"Otter",66.35,6.65
2010,52.2502471219534,35.1741347006661,"Midwater",60.15,-0.55
2011,0.0276588068519319,9.90391103592563,"Midwater",56.35,20.05
2009,10.7385296157259,0.184480790154587,"Midwater",54.45,0.25
2014,46.7818544872007,19.3905130902866,"Midwater",56.05,18.45
2011,2.06858002926967,0.505400158729707,"Beam",54.25,6.05
2011,0.00378053548826826,99.7099564361784,"Beam",53.05,2.35
2014,18.8673307428506,38.7410484416623,"Static",68.45,12.55
2011,0.314096436876012,4.43595884382376,"Static",69.75,17.25
2014,2.02006748348399,4.80756280561254,"Otter",59.55,3.75
2011,1.74913738572571,0.693258326770367,"Otter",54.75,15.05
2014,6.2397508740528,23.7144338350623,"Midwater",54.75,12.75
2014,0.081450210851874,6.29268630279272,"Otter",78.45,12.25
2010,0.365591129509876,2.16906927648134,"Beam",45.15,-2.25
2012,0.012177765080293,0.632646319099657,"Otter",58.65,9.15
2013,22.8452997656826,0.402784463262231,"Static",64.95,9.95
2013,1.83650009657255,0.000611046110071443,"Midwater",72.15,5.35
2013,5.31763775597034,21.6853480786213,"Midwater",55.15,1.45
2013,3.77747595504878,0.584067726230446,"Otter",52.65,-13.35
2009,0.0669408669404254,0.0718313685978971,"Midwater",48.25,-6.85
2010,5.02665754075018,3.81848874328703,"Beam",49.85,-2.65
2013,0.100262502748133,0.0215113657453393,"Static",67.55,12.85
2011,10.7976902356135,0.625661962850006,"Midwater",56.55,11.45
2012,0.000302551666725538,2.87781728660072,"Midwater",60.95,21.05
2011,14.2362355103262,6.40009631218987,"Midwater",55.75,-17.35
2010,3.75751334852812,0.000257648364484941,"Dredge",54.45,-0.35
2010,131.809737744418,147.087698779629,"Otter",58.65,1.55
2014,95.7482843389835,3.85245367525198,"Midwater",60.05,25.95
2011,0.000000821860283805618,1.99275820610056,"Static",66.25,9.35
2015,563.057128964908,70.510133638557,"Static",51.15,-5.15
2011,501.209932474705,0.250173995053341,"Otter",58.35,2.95
2010,11.7037816435487,0.0000195899893401251,"Otter",57.85,-2.15
2015,0.00752014346583273,16.9528488308884,"Otter",48.65,-7.95
2015,0.0368266966701577,7.93082444529015,"Otter",75.25,33.15
2009,0.00208234319070736,4.64411564294398,"Otter",59.85,-9.95
2015,0.812193410144974,1.43178202468061,"Otter",77.35,34.45
2012,187.876379360425,0.0190193692075002,"Midwater",59.55,22.45
2013,0.127489979567403,14.3869441002949,"Beam",52.05,3.65
2011,0.0014486279688536,0.000000348282741097086,"Otter",55.75,10.35
2011,0.00331133757326503,0.146153693309504,"Otter",53.25,-12.25
2014,0.0615289382967989,17.8384346405025,"Static",50.05,-6.85
2015,63.0206407516036,1.04689508539247,"Otter",59.25,2.85
2014,18.3054131864776,60.5684091658909,"Otter",45.15,-2.05
2014,0.324913414977903,0.0723056534993095,"Otter",55.15,14.55
2012,26.5697737024343,0.118091503929963,"Demersal seine",57.45,5.75
2011,450.239684560807,14.635057250642,"Demersal seine",50.25,1.05
2011,3.82793551924022,94.9673535235647,"Midwater",63.05,5.95
2010,0.0480282589388664,0.00729307789915523,"Midwater",54.65,14.05
2014,1.17012679260703,0.169855992982814,"Static",51.35,-4.85
2009,11.0588559122433,0.670275236265119,"Demersal seine",59.15,-3.75
2015,0.605208468479744,22.5844823575078,"Demersal seine",54.85,7.75
2014,1.1735788475005,0.342004680172277,"Static",57.75,9.75
2015,0.259765927913028,14.4959815267289,"Static",71.15,36.75
2011,211.813719670223,0.765880138932023,"Static",70.35,17.35
2011,0.233142266105943,3.69651340620673,"Midwater",60.85,0.95
2015,0.00544300432745135,46.6891117162317,"Static",61.85,4.65
2010,5.82859033327149,0.225369529469807,"Midwater",49.95,-12.15
2014,2.97703545493038,315.792639849258,"Otter",59.15,-4.05
2015,0.00657586137778204,0.147855010056385,"Otter",52.95,-12.25
2009,0.000431961947154994,0.000707978547353847,"Midwater",55.85,12.75
2013,0.819920558700057,175.35621641285,"Midwater",62.35,5.65
2015,4.29132179747664,14.1387969311702,"Static",50.25,-0.85
2013,40.7508630769417,107.65525533178,"Static",57.25,7.35
2011,4.39856011889774,59.8755417563494,"Beam",53.95,7.15
2011,6.6073222307292,65.3703707237856,"Demersal seine",57.15,7.05
2013,2.71597598719234,0.00340884557592301,"Dredge",50.35,0.35
2012,0.789287593478211,8.85150057738918,"Demersal seine",54.75,2.75
2012,0.117349005150049,6.60146303297433,"Midwater",60.45,22.05
2014,0.767267977531765,0.0527661193515331,"Static",63.55,-24.25
2013,0.0904022759885904,3.19993018735844,"Otter",48.95,-3.05
2014,0.00218841662892554,0.0615338117374896,"Midwater",54.95,3.25
2013,0.515247459987467,2.78297750136106,"Static",73.55,34.15
2009,2.85807711498742,0.0233960776208009,"Otter",57.75,3.05
2015,0.0044732453254479,95.5312733200218,"Midwater",55.15,17.75
2013,0.0173346041115857,11.5583391542346,"Static",44.15,-8.15
2011,8.58467805439501,21.7629042636394,"Otter",37.55,-9.35
2014,0.000424021584987436,0.159006790167889,"Static",53.25,-4.85
2014,4.94160492684893,18.0069373368611,"Static",49.75,-9.65
2010,25.5463809855699,5.83787286724374,"Static",47.45,-12.95
2009,206.571367340333,129.770830348349,"Beam",56.05,8.15
2013,0.629268340870911,0.619300283508325,"Otter",51.65,1.65
2014,1.59239485627745,2.38391642996661e-18,"Otter",49.65,-2.95
2015,0.00162356221093683,1.02192547425348,"Otter",49.95,0.05
2010,37.9613808059206,0.0782483323429016,"Otter",49.55,-9.05
2012,84.7863284383618,25.572437062888,"Static",74.25,34.15
2012,1.04514855486208,5.77344788700889,"Static",73.15,34.85
2013,5.64613167086436,0.00151305633043767,"Otter",71.25,25.45
2010,5.93246396993452,0.0481441623630299,"Static",55.25,17.65
2015,2.13711783884957,0.0000207944287223161,"Otter",71.35,24.15
2009,3.139029445103,9.42464071972767,"Midwater",73.35,14.35
2015,9.14632275175375,34.6367002772961,"Midwater",44.25,-1.65
2012,9.80024977493335,0.0128552232891898,"Midwater",73.55,13.65
2011,0.0000235305699762446,17.6154185290858,"Static",55.05,17.75
2013,5.23436865110585,0.00197901999813235,"Midwater",55.95,18.65
2009,3.69397870287166,0.212932771238687,"Midwater",61.35,19.85
2014,0.00917557283891097,18.7141035703488,"Dredge",60.05,-1.05
2009,0.00197762653294666,67.4951299560747,"Static",50.75,-9.95
2015,0.227822138679915,0.0969148129114392,"Static",75.95,20.95
2014,0.0366725804235761,0.766322065874395,"Beam",53.65,0.45
2011,0.230670553492063,76.2525137817472,"Static",57.05,4.65
2015,2.16164954609028,14.2250807000323,"Otter",56.25,1.75
2013,1.42568815887339,0.234537249752409,"Otter",73.75,17.65
2009,0.348183862067413,0.260016242187606,"Other",46.05,-3.05
2015,0.0168485201766177,0.0493468764001091,"Otter",62.45,-5.55
2014,11.8280225830974,0.00199399487636055,"Dredge",57.65,-1.95
2011,3.99743733805928,0.00476817157805313,"Midwater",50.35,-0.55
2015,14.6761090729497,0.00000157346309378049,"Static",76.45,30.45
2015,0.00000679123407790209,0.0333327229068236,"Otter",64.35,5.75
2014,1.35080494663229,4.10387920329488,"Otter",72.55,34.15
2009,5.83166790899353,0.0592773376287759,"Demersal seine",54.75,2.05
2015,0.000681475739734944,6.71495849269335,"Otter",59.05,9.75
2014,0.0517805123050568,0.00102567102975243,"Static",59.05,-5.95
2014,0.688628071035395,3.38923535283608,"Otter",61.55,-1.45
2014,0.0012354764735514,2.15108083166162,"Demersal seine",60.65,0.35
2013,2.99385178681924,19.5808662473948,"Static",72.45,15.25
2013,0.00015263636782654,21.8458642045515,"Static",70.85,34.85
2009,0.120902923522219,45.781651727489,"Midwater",51.45,-11.65
2012,1.276109237426,0.458989313651778,"Static",39.95,-9.75
2015,0.00363125445555099,6.19114274140745,"Static",41.05,-8.75
2010,30.5386907500775,65.2125990171171,"Static",43.95,-7.55
2009,0.118853628512257,3.14367833331105,"Demersal seine",56.65,10.75
2014,0.000000000000553042910113246,311.150596733718,"Otter",76.55,29.25
2013,0.808870826532168,0.00189110202747082,"Static",72.65,30.15
2012,0.373384598138736,0.0206865369696462,"Otter",56.45,1.65
2011,186.609727124852,5.29844741390903,"Otter",49.15,-2.85
2010,1.37288583245454,11.8490384307836,"Midwater",52.65,-11.55
2010,0.534465016745839,15.8774990118678,"Beam",49.95,-4.05
2009,0.112638388657451,0.0157236989504648,"Otter",53.85,2.45
2014,0.992532755931985,0.361309736994271,"Midwater",54.25,0.35
2013,0.0000000861020106227305,1.59627258211818,"Otter",51.95,-13.55
2015,18.6910925507343,5.84754886424057,"Demersal seine",57.75,0.95
2012,4.19843841496094,0.0114206728486366,"Static",54.75,7.35
2014,0.0561706778817571,0.352769144606033,"Demersal seine",50.25,-0.15
2015,0.191592901677089,57.0202946196332,"Static",75.55,27.95
2013,2.76559117115474,1.08837989692092,"Midwater",55.65,1.45
2015,0.101108055790152,19.2764475129931,"Static",54.15,14.55
2015,0.0899462737035672,2.45165651589226,"Demersal seine",75.35,21.45
2011,27.345327212766,1.07581287130106,"Static",62.65,3.75
2012,0.0292806838417146,136.162661977667,"Otter",47.65,-6.85
2011,36.5125694187335,0.0925101544109106,"Otter",55.25,13.15
2013,30.1922005343175,1.06480786106415,"Beam",53.65,6.95
2009,0.127836236083464,0.000377586894907862,"Dredge",57.55,-6.55
2013,20.6740679785079,0.580953554671948,"Beam",55.75,6.85
2011,0.193787844387864,0.000977562987359406,"Midwater",54.55,11.55
2011,0.0230969097890677,0.0000000000065103950151571,"Static",60.15,3.85
2011,3.39855040141828,14.979349471325,"Otter",40.55,-8.85
2011,0.0798462418470534,0.808573006096198,"Demersal seine",57.55,4.55
2014,0.463286835107969,20.2753712516875,"Static",72.05,27.65
2013,2.19674975073842,0.994545744725713,"Otter",57.15,18.65
2013,0.00000861639460360873,1.45483862929699,"Otter",60.35,-0.05
2013,0.00597529830817489,11.5842721845428,"Otter",71.65,25.95
2010,5.1982920266892,27.2013319582416,"Static",51.25,-14.35
2015,1.87945964369938,0.0076086573707685,"Midwater",54.65,7.85
2015,0.0559336906986586,12.0115552490855,"Midwater",61.35,19.75
2010,3.62097034457355,18.6806440654116,"Static",52.75,-13.45
2013,2.36392221416103,0.986130364332821,"Static",72.05,28.45
2012,0.727953998080164,2.71802067854786,"Beam",53.95,0.85
2013,5.34547853744378,5.22851886657589,"Static",69.85,39.25
2014,29.9387351857784,10.7930697576881,"Midwater",57.45,-9.85
2010,58.7304054339327,0.00144291374406787,"Midwater",61.45,21.25
2011,10.3136456266147,0.520967460124286,"Otter",59.25,-7.35
2014,0.286314724363793,92.7914112313557,"Otter",76.65,19.65
2011,0.381253350660817,0.727043719669424,"Demersal seine",55.25,3.45
2013,3.34596230223016,2.39729231797975,"Otter",55.05,3.35
2015,0.0908928616757977,0.262754516562877,"Otter",50.05,-3.85
2013,1.97524890495722,2.07814003511834,"Otter",51.25,1.75
2013,2.52906445887798,1.85705095436976,"Dredge",53.85,-4.85
2013,0.281990630869514,0.000489109769405369,"Demersal seine",50.95,1.35
2009,13.351008237835,0.0021285596167397,"Midwater",45.75,-4.35
2014,2.2390301071369,0.485309985754754,"Static",52.35,-4.85
2014,0.00803270437860125,3.03099559239894,"Otter",64.45,-37.75
2012,0.465709786909715,0.00784782460490092,"Static",57.75,-5.95
2012,0.605104116807781,0.173265995481294,"Otter",49.85,-11.75
2009,334.582875823284,2.57626283654151,"Otter",57.35,1.55
2012,3.22485330461531,0.0207832417313863,"Otter",54.35,1.85
2012,0.189393617647133,13.9748608966843,"Otter",75.95,14.35
2014,1.40056190378414,2.36962538011968,"Midwater",59.15,-0.15
2010,0.0642891937021964,0.00262061789491541,"Midwater",53.75,-16.75
2013,0.00727881574016089,5.68424539049514,"Midwater",61.25,20.45
2013,0.78676693325887,2.06193162761588,"Midwater",50.95,-15.95
2012,8.44602307571344,1.54919879145373,"Beam",50.45,-5.55
2010,0.000135778573364647,7.08653946765653,"Otter",56.35,-8.05
2013,13.0909563116987,2.06376016041001,"Demersal seine",75.05,32.15
2014,0.111048674365071,56.2045422021066,"Otter",55.15,1.35
2015,1.55845198843481,0.00368870136865851,"Static",62.85,-6.75
2010,3.57950402153837,2.38067946327995,"Demersal seine",50.05,-0.55
2009,5.73390113624913,1.29916839180121,"Static",59.15,-5.05
2013,26.8716657783469,4.62590855933767,"Static",54.95,-9.45
2014,0.000668021200236282,26.593300970298,"Static",59.05,-4.35
2013,1.25192297894593,0.518896427983696,"Static",68.65,12.85
2012,2.01493075511004,0.168332818344427,"Static",46.65,-2.55
2013,20.4843805669823,0.0315677276943399,"Midwater",57.75,7.95
2009,2.3162923799317,0.663353516303861,"Otter",49.45,-8.15
2015,0.736771511257618,0.128055114073342,"Static",50.35,-9.75
2015,4.12775861423746,0.0000852856473345499,"Dredge",49.85,-0.15
2011,11.4014479092359,0.0247014236077206,"Beam",55.65,5.25
2014,0.431182761563337,3.54378622696023,"Midwater",55.55,-12.35
2010,0.625487023251134,0.0714368131944514,"Midwater",54.45,3.45
2014,35.0469432286482,0.0879807763195039,"Otter",54.95,14.95
2011,9.81548453912891,2.10696902525919,"Static",61.35,1.65
2010,26.3395147473656,0.799229686103597,"Midwater",63.05,21.05
2009,0.0136662590578742,491.312927039597,"Midwater",55.75,-5.05
2010,2.57743089034676,0.00824147771982846,"Beam",55.35,6.75
2013,0.178585101559494,22.8301908806307,"Static",54.75,15.95
2013,0.837027079797368,0.539142662360712,"Midwater",49.35,-2.35
2014,0.0393311735503929,3.77644089884916,"Otter",48.65,-5.15
2014,0.319847604257491,309.659773244085,"Beam",54.45,7.25
2015,0.0131456209765699,0.0909177223807517,"Static",51.05,1.55
2009,0.00753417455924371,0.206304443592447,"Otter",50.85,-14.45
2013,41.7405815163994,0.0558932055355044,"Midwater",51.65,-12.75
2012,20.8222255837613,1.83880898438809,"Midwater",48.45,-6.55
2014,245.121008653285,0.000465529124004422,"Otter",55.95,7.05
2014,0.283300865502464,1.3503777033266,"Midwater",55.55,16.05
2011,14.6267196794252,6.56382896905878,"Static",71.05,20.25
2012,7.58975403262491,2.42310763143476,"Otter",49.55,-10.15
2012,0.0474881475326881,2.46592934222175,"Midwater",63.15,19.65
2015,0.0358243325083128,0.000668916825158831,"Otter",53.75,4.35
2011,0.013177794129597,0.879591874238051,"Beam",50.75,-9.35
2014,0.0749488329125229,2.98701559820976,"Midwater",57.25,-11.95
2009,0.252254202163373,0.882718197107895,"Otter",47.35,-6.05
2014,0.0227974543330702,16.8065371953677,"Otter",71.55,16.35
2011,2.57169084303025,1456.68070869092,"Static",66.75,10.55
2011,2.32373706873291,1.03094725818152,"Otter",54.75,13.35
2011,10.9450057145302,0.000230145092938631,"Otter",60.85,18.15
2015,0.000396862572758964,0.00487304895165422,"Otter",57.35,-1.35
2012,0.502861652186987,0.228389486365239,"Midwater",73.95,15.85
2010,0.0000982513408504472,0.161382413202547,"Midwater",58.05,17.15
2014,2.94704586679422,2.60872977029101,"Midwater",50.35,-4.65
2009,45.7745922218982,0.542046391486327,"Midwater",54.35,14.95
2012,1.19492357900025,3.60687209906438,"Otter",75.75,28.35
2009,3.73088011277137,25.1539134034064,"Static",59.25,-6.25
2009,0.0223989756552076,1.40642380258697,"Otter",46.85,-2.75
2010,0.0157470729033836,14.0352951375301,"Otter",55.65,18.55
2015,5.56782316633597,8.51866983968256,"Otter",55.25,16.25
2014,0.0431460750410065,0.00154200526483933,"Midwater",58.45,-6.45
2013,0.0229006256692982,17.4805581688046,"Static",73.15,23.05
2013,0.00963545526037542,1.58263091524663,"Midwater",55.35,18.25
2010,0.0976118008432853,0.782736087925659,"Midwater",59.25,22.95
2010,0.00651763500270225,0.000447890153757756,"Otter",55.35,11.05
2010,0.432222933133341,2.28042089142028,"Midwater",60.65,0.45
2012,0.0225566625732182,0.467007760521834,"Otter",70.75,17.05
2010,206.381314979513,0.0613795277882825,"Static",52.25,2.75
2010,0.000268427306522077,0.324262613112261,"Static",52.45,2.35
2013,3.59766927881441,2.20346397189514,"Static",41.75,-8.95
2013,57.3820339236745,162.781647861243,"Static",52.05,-14.45
2011,0.0331506442401108,0.663763129764135,"Otter",57.15,3.15
2013,0.0903654328170273,0.33797106810925,"Static",57.65,10.35
2009,0.73454565240875,2.82286107536148,"Midwater",59.35,21.05
2014,0.00799276412509349,1.21589477243697,"Midwater",72.15,25.35
2014,0.685504440552738,0.00670860324840598,"Demersal seine",59.25,-4.45
2015,608.184234579013,0.894767541574225,"Midwater",71.65,3.85
2010,6.14395432190802,11.465230613659,"Beam",50.95,-8.55
2015,0.0282008575841722,86.3895664316653,"Otter",64.45,2.55
2010,0.00904223772794076,47.9562985939098,"Midwater",59.85,1.15
2009,24.0315591552436,0.0908502749247946,"Otter",61.85,0.55
2014,0.00616285487494039,19.1660682183212,"Static",74.35,24.35
2012,1.68794385339242,0.167945893873787,"Otter",60.15,-8.05
2009,36.2409981111006,0.0149296145159194,"Static",57.25,8.25
2015,0.00130418945320436,0.0361318821707462,"Dredge",50.45,-3.15
2010,4.0243565384885,5.99299784433725,"Otter",49.65,-5.85
2009,22.3869613189207,19.9840121584547,"Midwater",44.75,-11.05
2013,1.72915451542641,0.0269038056726031,"Demersal seine",52.25,3.05
2014,2.73007270187987,7.69074082063587,"Midwater",49.75,0.45
2012,0.681649305202906,0.326964137414355,"Static",55.05,-9.75
2009,7.90811645465165,0.0325621924173739,"Midwater",45.05,-7.35
2014,24.6980007968463,0.840210433677886,"Otter",77.55,37.75
2015,0.00201702126099001,0.321429729071217,"Static",71.15,40.55
2012,4.38055463342026,3.36132285047142,"Otter",50.95,-7.75
2015,22.9256551184377,14.7318458952419,"Otter",56.45,0.15
2010,0.925321291950772,12.3460625195084,"Otter",55.65,4.55
2010,9.75076375322194,1.65728397722718,"Midwater",49.95,-4.25
2009,8.69354416648135,0.257303166827508,"Otter",46.45,-2.35
2009,0.00573314826283881,0.341765451711514,"Beam",51.45,2.45
2015,18.3302924487396,8.06951929084393,"Otter",49.35,-10.35
2015,0.0272036568487085,0.00102340240416593,"Static",55.15,5.15
2010,0.547291829378841,12.4205945593365,"Static",59.55,-6.25
2011,1.17559191768277,0.122729298619097,"Otter",69.05,0.65
2012,0.0123482377956707,55.8584486337004,"Dredge",49.85,-0.05
2013,14.197828310869,0.0064006204432359,"Midwater",60.85,18.85
2014,0.0425241497554265,0.00345942158969174,"Otter",53.35,-13.05
2012,0.000252371360837661,1.67157086949699,"Midwater",63.85,21.75
2013,0.000441630399587565,41.2744322645251,"Static",48.35,-9.75
2013,0.0130058761317463,98.5647567964837,"Midwater",60.75,18.95
2009,0.0245579971397158,0.000450582552183199,"Beam",54.05,6.05
2013,25.6150393243509,1.21097076411054,"Static",47.15,-3.05
2012,0.477860249557975,0.0229253275437758,"Static",56.15,-9.15
2012,5.37363322906113,0.0771612229297129,"Otter",72.35,15.85
2010,0.103987660543677,46.6200407385009,"Otter",54.75,1.65
2014,9.8188191612772,11.3972855704707,"Otter",74.25,20.45
2011,0.0167326219326831,0.0701524960113172,"Dredge",51.85,-5.95
2010,42.1561555668825,9.63636952861093,"Dredge",49.95,-0.15
2010,1.35829598042897,0.278259631555536,"Static",49.55,-0.85
2013,3.60369791742473,1.8946783015901,"Midwater",61.95,0.65
2014,0.138310035842721,0.134590791424093,"Beam",52.75,4.05
2009,11.5156190524313,3.25134490991431,"Demersal seine",53.75,6.15
2014,11.5324949877885,0.019368765410715,"Midwater",50.05,0.45
2013,5.0232601196338,0.325438949127437,"Static",55.25,-8.25
2014,0.878000186440903,1.94309219837421,"Static",47.35,-5.85
2013,24.1061117445338,2.50162207130444,"Demersal seine",69.55,15.85
2011,0.217665300256656,11.1758807730218,"Otter",62.75,4.85
2015,5.47675297026729,1.24418204712438,"Otter",51.55,-12.75
2010,0.308539595929142,0.0000288021926614303,"Demersal seine",59.95,2.25
2015,0.178981838547795,0.010264146412856,"Midwater",67.35,-17.15
2013,14.4045690703639,5.10343292363854,"Demersal seine",68.15,14.35
2015,1.18761034614269,302.596258555432,"Midwater",51.75,-8.05
2015,0.012621877494846,5.67099880802227,"Midwater",65.25,2.05
2011,7.08341164963934,2.64474737656937,"Midwater",68.45,14.85
2014,6.56958238613671,55.1894103362786,"Otter",54.85,18.35
2012,203.793918058734,0.0563078998946984,"Midwater",58.65,1.45
2013,0.000786486615212343,1.43871896307976,"Beam",48.75,-7.75
2011,0.0100816089406424,5.78162488147629,"Midwater",50.65,-6.45
2014,1.63004393725897,0.000952216431165439,"Midwater",68.95,-20.05
2015,0.0849440580375937,1.47719771868145,"Otter",48.65,-9.35
2014,1.08367805075491,0.227429723873413,"Demersal seine",74.35,17.55
2012,1.53114480408063,0.000000700401685856361,"Demersal seine",50.55,-0.35
2009,404.045804734031,0.0000141348320295204,"Static",53.25,5.25
2013,0.012446394969277,1.46560067132271,"Static",52.95,4.35
2013,0.00620641178602488,0.202300404421803,"Static",61.95,3.55
2013,1.43850018624943,0.0757786199919897,"Beam",54.15,5.05
2012,1.3480221025477,0.000099928953068595,"Otter",58.55,-5.65
2013,9.41247689386696,105.252674809152,"Beam",48.65,-7.85
2012,0.152437116943476,1.63072024519121,"Otter",55.55,15.55
2015,1.35296871253977,0.420903919282261,"Otter",47.55,-6.15
2015,0.516178120768276,2.09761561625174,"Otter",71.25,21.95
2014,0.00013310432971,12.0809019409587,"Static",57.65,-14.65
2014,3.22189909148845,0.161727447573618,"Static",74.75,33.65
2012,5.13012571945037,29.6116284661836,"Otter",51.15,2.05
2009,0.362928350120809,0.143118008518599,"Midwater",46.35,-3.85
2011,0.579219166279385,0.15576894703993,"Static",75.85,22.75
2013,0.000205996138536755,4.7102371354531,"Midwater",50.65,0.95
2009,0.140226338377753,0.0761877232475264,"Dredge",54.05,-4.55
2010,0.142745427865501,0.382108750963671,"Otter",56.05,19.95
2014,1.03880445631057,0.0047216647372899,"Beam",54.15,8.65
2013,2.48117385873685,0.000061819960662102,"Midwater",49.55,-0.55
2012,0.00000846717480543984,64.6786918544462,"Beam",48.95,-6.15
2010,0.614771964399472,1.56661544595902,"Demersal seine",60.45,2.85
2015,13.9502174401478,0.0000259518857344446,"Otter",61.05,19.65
2014,3.57218240130857,2.99913915000414,"Demersal seine",51.45,1.85
2015,52.2461426921305,3.37958388404335,"Otter",61.25,0.25
2014,0.961472812832888,0.229461196155602,"Otter",60.15,2.75
2014,40.7111025417786,1.1020181900346,"Otter",57.45,4.15
2013,0.0187419291539368,0.0217654166856097,"Otter",57.75,10.05
2014,0.728192884105483,0.0172089066587421,"Otter",73.45,32.05
2013,2.27603031384758,29.2258297749765,"Otter",55.75,-8.05
2012,0.13157854059037,15.1847242239533,"Otter",59.85,-4.75
2015,0.223539847473038,1.83056088701766,"Demersal seine",58.55,-2.65
2010,0.388321009314142,1.13302135624883,"Static",51.55,2.25
2013,0.128403546342554,0.728377155516285,"Beam",51.45,-9.05
2013,9.63915376529123,8.22086172769798,"Midwater",50.25,-13.55
2010,0.00000000341764617209906,0.00889363537600654,"Beam",54.05,7.65
2015,0.0234935373400511,53.3868692405872,"Otter",60.65,-6.45
